itemLabel,occupationLabel
Uranius Antoninus,monarque
Attius Labeo,écrivain
Aemilia Lepida,aristocrate
Anicia Juliana,mécène
Galeria Fundana,dirigeant
Domitilla la Jeune,
Basilina,personnalité politique
Publius Mucius Scævola,écrivain
Publius Mucius Scævola,avocat
Publius Mucius Scævola,juriste
Publius Mucius Scævola,homme politique de la Rome antique
Publius Mucius Scævola,militaire
Optat de Milève,évêque
Optat de Milève,écrivain
Optat de Milève,prêtre
Optat de Milève,théologien
Salonina Matidia,personnalité politique
Junia,écrivain
Second d'Asti,soldat
Ulpia Severina,personnalité politique
Caius Petronius,personnalité politique
Pacatianus,militaire
Pacatianus,usurpateur
Claudia Procula,
Libanios,écrivain
Libanios,historien
Libanios,rhéteur
Libanios,philosophe
Libanios,orateur
Domitien II,soldat
Julia Drusi Caesaris Filia,personnalité politique
Lucius Valerius Flaccus,homme politique de la Rome antique
Lucius Valerius Flaccus,militaire
Quintus Caedicius Noctua,homme politique de la Rome antique
Quintus Caedicius Noctua,militaire
Pudentienne,martyr
Martinien,dirigeant
Sextilia,dirigeant
Domitia Lepida Minor,
Caius Junius Silanus,militaire
Caius Junius Silanus,personnalité politique
Plautilla,
Cornelia Metella,
Marcia,
Cnaeus Julius Agricola,militaire
Cnaeus Julius Agricola,personnalité politique
Tatien le Syrien,écrivain
Tatien le Syrien,théologien
Tatien le Syrien,philosophe
Martine de Rome,
Albia Dominica,presbytre
Eumachia,prêtre
Herennius Etruscus,personnalité politique
Mucia Tertia,
Tullia Major,personnalité politique
Eusébie,
Sénèque l'Ancien,écrivain
Sénèque l'Ancien,poète
Sénèque l'Ancien,historien
Sénèque l'Ancien,rhéteur
Sénèque l'Ancien,philosophe
Sainte Léa,
Quintus Fabius Maximus Verrucosus,homme politique de la Rome antique
Quintus Fabius Maximus Verrucosus,militaire
Aurelius Victor,poète
Aurelius Victor,historien
Aurelius Victor,gouverneur romain
Égérie,poète
Julien,écrivain
Julien,personnalité politique
Julien,philosophe
Jovien,personnalité politique
Claude Ptolémée,astronome
Claude Ptolémée,écrivain
Claude Ptolémée,astrologue
Claude Ptolémée,mathématicien
Claude Ptolémée,géographe
Claude Ptolémée,philosophe
Claude Ptolémée,musicologue
Claude Ptolémée,théoricien de la musique
Claude Ptolémée,épigrammatiste
Théodore Tiron,dragonslayer
Théodore Tiron,soldat
Arator,écrivain
Arator,avocat
Arator,poète
Plutarque,écrivain
Plutarque,prêtre
Plutarque,historien
Plutarque,biographe
Plutarque,magistrat
Plutarque,philosophe
Plutarque,essayiste
Clément Ier,prêtre catholique
Clément Ier,théologien
Dioclétien,personnalité politique
Ambroise de Milan,évêque
Ambroise de Milan,écrivain
Ambroise de Milan,personnalité politique
Ambroise de Milan,prêtre catholique
Ambroise de Milan,théologien
Ambroise de Milan,philosophe
Macaire de Scété,moine chrétien oriental
Jude,prêtre
Léon Ier,pape
Léon Ier,écrivain
Léon Ier,prêtre catholique
Grégoire de Nazianze,poète
Grégoire de Nazianze,prêtre catholique
Grégoire de Nazianze,théologien
Grégoire de Nazianze,clerc
Grégoire de Nazianze,philosophe
Grégoire de Nazianze,épigrammatiste
Athanase d'Alexandrie,évêque
Athanase d'Alexandrie,écrivain
Athanase d'Alexandrie,théologien
Athanase d'Alexandrie,hagiographe
Athanase d'Alexandrie,prêtre orthodoxe
Cyrille d'Alexandrie,écrivain
Cyrille d'Alexandrie,pape copte orthodoxe d'Alexandrie
Cyrille d'Alexandrie,clerc
Ignace,prêtre
Ignace,théologien
Ignace,clerc
Jérôme de Stridon,écrivain
Jérôme de Stridon,prêtre
Jérôme de Stridon,poète
Jérôme de Stridon,historien
Jérôme de Stridon,traducteur
Jérôme de Stridon,apologète
Jérôme de Stridon,anachorète
Jérôme de Stridon,théologien
Jérôme de Stridon,bibliste
Jérôme de Stridon,traducteur de la Bible
Nicolas de Myre,presbytre
Hilaire de Poitiers,écrivain
Hilaire de Poitiers,prêtre catholique
Hilaire de Poitiers,Magister scholarum
