item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q102350968,Cnaeus Calpurnius Piso,Cnaeus,Calpurnius,Piso,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,t2191732340,t2191732360,http://www.wikidata.org/entity/Q102349608,t2191732347
http://www.wikidata.org/entity/Q102390583,Decimus Junius Silanus,Decimus,Junius,Silanus,Junii,masculin,,Rome antique,,t2234357643,http://www.wikidata.org/entity/Q1528929,t2234357637
http://www.wikidata.org/entity/Q102417058,Cnaeus Calpurnius Piso,Cnaeus,Calpurnius,Piso,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t1654364831,http://www.wikidata.org/entity/Q102350968,t1654364817
http://www.wikidata.org/entity/Q103821041,Quintus Antonius,Quintus,Antonius,,Antonii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t1654722125,t1654722130,t1654722144
http://www.wikidata.org/entity/Q103821055,Aulus Antonius,Aulus,Antonius,,Antonii,masculin,t1654722134,Rome antique,-0200-01-01T00:00:00Z,t1654722120,t1654722131,t1654722164
http://www.wikidata.org/entity/Q104698660,Gnaeus Cornelius Rufinus,Cnaeus,Cornelius,Rufinus,Cornelii,masculin,,,,,http://www.wikidata.org/entity/Q1091296,
http://www.wikidata.org/entity/Q105533524,Gaius Maianius,Caius,Maianius,,Maiania gens,masculin,,,,,,
http://www.wikidata.org/entity/Q106042353,Calavia,,Calavia,,Calavii,féminin,,,,,http://www.wikidata.org/entity/Q7123156,http://www.wikidata.org/entity/Q106042440
http://www.wikidata.org/entity/Q106042440,Claudia,,,,,féminin,,,,,http://www.wikidata.org/entity/Q435404,
http://www.wikidata.org/entity/Q106454474,Marcus Livius Salinator,,,,,masculin,,,,,http://www.wikidata.org/entity/Q47453273,
http://www.wikidata.org/entity/Q721806,Lucius Apustius Fullo,Lucius,Apustius,,Apustii,masculin,-0250-01-01T00:00:00Z,Rome antique,-0250-01-01T00:00:00Z,t2258245494,t2258245493,t2258245503
http://www.wikidata.org/entity/Q722307,Cnaeus Manlius Vulso,Cnaeus,Manlius,Vulso,Manlii,masculin,-0300-01-01T00:00:00Z,Rome,-0200-01-01T00:00:00Z,Rome,t2258413242,t2258413244
http://www.wikidata.org/entity/Q731750,Trebius Niger,t1666553409,Trebius,Niger,Trebii,masculin,,Rome antique,t1666553425,t1666553388,t1666553436,t1666553418
http://www.wikidata.org/entity/Q736087,Marcus Iunius Pera,Marcus,Junius,,Junii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0260-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q324608,t2258411995
http://www.wikidata.org/entity/Q736357,Eunus,,,,,masculin,-0200-01-01T00:00:00Z,Apamée,-0131-01-01T00:00:00Z,t2285561238,t2285561239,t2285561236
http://www.wikidata.org/entity/Q746582,Publius Licinius Crassus,Publius,Licinius,,Licinii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0260-01-01T00:00:00Z,t2258439083,t2258439079,t2258439081
http://www.wikidata.org/entity/Q763405,Lucius Aemilius Regillus,Lucius,Aemilius,Regillus,Aemilii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t2258399593,http://www.wikidata.org/entity/Q11935129,t2258399595
http://www.wikidata.org/entity/Q772811,Aulus Hostilius Mancinus,Aulus,Hostilius,Mancinus,Hostilii,masculin,-0300-01-01T00:00:00Z,t2258486225,-0200-01-01T00:00:00Z,t2258486227,http://www.wikidata.org/entity/Q97139370,t2258486223
