item,occupationLabel
http://www.wikidata.org/entity/Q170472,écrivain
http://www.wikidata.org/entity/Q170472,traducteur
http://www.wikidata.org/entity/Q170472,théologien
http://www.wikidata.org/entity/Q170472,clerc
http://www.wikidata.org/entity/Q170472,philosophe
http://www.wikidata.org/entity/Q170512,écrivain
http://www.wikidata.org/entity/Q170512,poète
http://www.wikidata.org/entity/Q170512,philosophe
http://www.wikidata.org/entity/Q170512,romancier
http://www.wikidata.org/entity/Q170547,écrivain
http://www.wikidata.org/entity/Q170547,anachorète
http://www.wikidata.org/entity/Q170547,moine chrétien
http://www.wikidata.org/entity/Q171023,personnalité politique
http://www.wikidata.org/entity/Q171083,homme politique de la Rome antique
http://www.wikidata.org/entity/Q171083,militaire
http://www.wikidata.org/entity/Q171876,Favori
http://www.wikidata.org/entity/Q172048,poète
http://www.wikidata.org/entity/Q172048,auteur comique
http://www.wikidata.org/entity/Q172168,personnalité politique
http://www.wikidata.org/entity/Q172198,écrivain
http://www.wikidata.org/entity/Q172198,poète
http://www.wikidata.org/entity/Q172198,historien
http://www.wikidata.org/entity/Q172198,soldat
http://www.wikidata.org/entity/Q172248,poète
http://www.wikidata.org/entity/Q172248,philosophe
http://www.wikidata.org/entity/Q172248,homme politique de la Rome antique
http://www.wikidata.org/entity/Q172471,personnalité politique
http://www.wikidata.org/entity/Q172471,officier
http://www.wikidata.org/entity/Q174265,homme politique de la Rome antique
http://www.wikidata.org/entity/Q174265,militaire
http://www.wikidata.org/entity/Q174323,
http://www.wikidata.org/entity/Q174536,homme politique de la Rome antique
http://www.wikidata.org/entity/Q174536,militaire
http://www.wikidata.org/entity/Q174929,écrivain
http://www.wikidata.org/entity/Q174929,théologien
http://www.wikidata.org/entity/Q174929,philosophe
http://www.wikidata.org/entity/Q175042,écrivain
http://www.wikidata.org/entity/Q175042,astrologue
http://www.wikidata.org/entity/Q175042,philosophe
http://www.wikidata.org/entity/Q175042,homme politique de la Rome antique
http://www.wikidata.org/entity/Q175121,homme politique de la Rome antique
http://www.wikidata.org/entity/Q175121,militaire
http://www.wikidata.org/entity/Q176090,militaire
http://www.wikidata.org/entity/Q176090,personnalité politique
http://www.wikidata.org/entity/Q176122,prêtre romain
http://www.wikidata.org/entity/Q176122,homme politique de la Rome antique
http://www.wikidata.org/entity/Q176122,militaire
http://www.wikidata.org/entity/Q176536,militaire
http://www.wikidata.org/entity/Q176536,personnalité politique
http://www.wikidata.org/entity/Q177975,prêtre romain
http://www.wikidata.org/entity/Q177975,homme politique de la Rome antique
http://www.wikidata.org/entity/Q177975,militaire
http://www.wikidata.org/entity/Q177980,personnalité politique
http://www.wikidata.org/entity/Q177988,personnalité politique
http://www.wikidata.org/entity/Q178217,écrivain
http://www.wikidata.org/entity/Q178217,mathématicien
http://www.wikidata.org/entity/Q179079,militaire
http://www.wikidata.org/entity/Q179079,personnalité politique
http://www.wikidata.org/entity/Q179718,missionnaire
