item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q61621492,Petronius Sabinus,t2249415543,Petronius,Sabinus,Petronii,masculin,-0600-01-01T00:00:00Z,t2249415542,t2249415539,t2249415541,t2249415540,t2249415549
http://www.wikidata.org/entity/Q63105711,Marcus Minucius,Marcus,Minucius,,Minucii,masculin,-0600-01-01T00:00:00Z,t1569402051,t1569402053,t1569402050,t1569402140,t1569402092
http://www.wikidata.org/entity/Q63149369,Volusus Valerius,Volesus,Valerius,,Valerii,masculin,-0600-01-01T00:00:00Z,t1839115146,t1839115281,t1839115197,t1839115172,t1839115237
http://www.wikidata.org/entity/Q63343975,Quintus Postumius,Quintus,Postumius,,Postumii,masculin,-0600-01-01T00:00:00Z,t1027282940,t1027283025,t1027283005,t1027282994,t1027283028
http://www.wikidata.org/entity/Q75755163,Mamercus Aemilius,Mamercus,Aemilius,,Aemilii,masculin,-0550-01-01T00:00:00Z,Rome antique,t1051563560,t1051563610,t1051563513,t1051563530
http://www.wikidata.org/entity/Q85412120,pre-severian legion,,,,,,,,,,,
http://www.wikidata.org/entity/Q86094232,kingdoms period roman legion,,,,,,,,,,,
http://www.wikidata.org/entity/Q86099701,servian legion,,,,,,,,,,,
http://www.wikidata.org/entity/Q94972107,Gegania,,Gegania,,Geganii,féminin,-0600-01-01T00:00:00Z,Rome,t1373966598,t1373966599,t1373966613,t1373966608
http://www.wikidata.org/entity/Q97831763,Q97831763,Titus,Aebutius,,Aebutii,masculin,-0600-01-01T00:00:00Z,t1918188663,t1918188660,t1918188659,t1918188673,t1918188674
http://www.wikidata.org/entity/Q97834339,Gaius Menenius,Caius,Menenius,,Menenii,masculin,-0600-01-01T00:00:00Z,t832878334,t832878303,t832878326,t832878365,t832878339
http://www.wikidata.org/entity/Q97924803,Q97924803,t833070647,Lartius,Rufus,Lartii,masculin,-0600-01-01T00:00:00Z,t833070655,t833070658,t833070646,t833070672,t833070670
http://www.wikidata.org/entity/Q97924803,Q97924803,t833070647,Lartius,Flavus,Lartii,masculin,-0600-01-01T00:00:00Z,t833070655,t833070658,t833070646,t833070672,t833070670
http://www.wikidata.org/entity/Q98350736,Pompo,t1919138092,Pompilius,,Pompilii,masculin,-0800-01-01T00:00:00Z,Cures Sabini,t1919138100,t1919138113,t1919138096,t1919138114
http://www.wikidata.org/entity/Q98356360,Pomponius,t2249434401,Pompilius,,Pompilii,masculin,-0800-01-01T00:00:00Z,Cures Sabini,t2249434388,t2249434396,http://www.wikidata.org/entity/Q200031,http://www.wikidata.org/entity/Q18759343
http://www.wikidata.org/entity/Q98356753,Pinus,t1649821798,Pompilius,,Pompilii,masculin,-0800-01-01T00:00:00Z,Cures Sabini,t1649821796,t1649821784,http://www.wikidata.org/entity/Q200031,http://www.wikidata.org/entity/Q18759343
http://www.wikidata.org/entity/Q98357965,Lucretia,,Lucretia,,Lucretii,féminin,-0800-01-01T00:00:00Z,Rome,t558454688,t558454729,t558454730,t558454703
http://www.wikidata.org/entity/Q98365867,Tullius,Servius,Tullius,,Tullii,masculin,t2187236288,Corniculum,-0600-01-01T00:00:00Z,Corniculum,t2187236306,t2187236296
http://www.wikidata.org/entity/Q98374052,Tarquinius Collatinus,t558454691,Tarquinius,Collatinus,Tarquinii,masculin,-0600-01-01T00:00:00Z,Collatie,-0600-01-01T00:00:00Z,t558454722,http://www.wikidata.org/entity/Q2745841,t558454714
http://www.wikidata.org/entity/Q98378682,Tarquinia the Younger,,Tarquinia,,Tarquinii,féminin,-0700-01-01T00:00:00Z,t558454687,t558454710,t558454705,http://www.wikidata.org/entity/Q212671,http://www.wikidata.org/entity/Q464034
http://www.wikidata.org/entity/Q98659434,Vitelio,t558987438,Vitellius,,Vitellii,masculin,-0600-01-01T00:00:00Z,t558987449,t558987445,t558987450,t558987441,t558987458
http://www.wikidata.org/entity/Q98659758,Manio Vitelio,Manius,Vitellius,,Vitellii,masculin,-0600-01-01T00:00:00Z,t1379848139,-0508-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q98659434,t1379848145
http://www.wikidata.org/entity/Q98739834,Publius Sulpicius,Publius,Sulpicius,,Sulpicii,masculin,-0600-01-01T00:00:00Z,t2237344619,t2237344623,t2237344616,t2237344622,t2237344618
http://www.wikidata.org/entity/Q105763856,Junia,,Junia,,Junii,féminin,,,,,http://www.wikidata.org/entity/Q3290274,http://www.wikidata.org/entity/Q3515798
