item,positionLabel
http://www.wikidata.org/entity/Q113856,préfet de Rome
http://www.wikidata.org/entity/Q113856,préfet du prétoire
http://www.wikidata.org/entity/Q113856,sénateur romain
http://www.wikidata.org/entity/Q114072,empereur romain
http://www.wikidata.org/entity/Q114845,
http://www.wikidata.org/entity/Q116463,sénateur romain
http://www.wikidata.org/entity/Q117841,
http://www.wikidata.org/entity/Q118422,préfet du prétoire
http://www.wikidata.org/entity/Q118422,gouverneur romain
http://www.wikidata.org/entity/Q1752,empereur romain
http://www.wikidata.org/entity/Q1752,sénateur romain
http://www.wikidata.org/entity/Q1762,empereur romain
http://www.wikidata.org/entity/Q1762,sénateur romain
http://www.wikidata.org/entity/Q1769,consul
http://www.wikidata.org/entity/Q1769,empereur romain
http://www.wikidata.org/entity/Q1769,sénateur romain
http://www.wikidata.org/entity/Q1777,empereur romain
http://www.wikidata.org/entity/Q1777,sénateur romain
http://www.wikidata.org/entity/Q1782,consul
http://www.wikidata.org/entity/Q1782,préteur
http://www.wikidata.org/entity/Q1782,questeur
http://www.wikidata.org/entity/Q1782,édile
http://www.wikidata.org/entity/Q1782,empereur romain
http://www.wikidata.org/entity/Q1782,gouverneur romain
http://www.wikidata.org/entity/Q1797,préfet de Rome
http://www.wikidata.org/entity/Q1797,empereur romain
http://www.wikidata.org/entity/Q1797,sénateur romain
http://www.wikidata.org/entity/Q1803,consul
http://www.wikidata.org/entity/Q1803,préteur
http://www.wikidata.org/entity/Q1803,questeur
http://www.wikidata.org/entity/Q1803,empereur romain
http://www.wikidata.org/entity/Q1803,sénateur romain
http://www.wikidata.org/entity/Q1805,empereur romain
http://www.wikidata.org/entity/Q1805,sénateur romain
http://www.wikidata.org/entity/Q1812,empereur romain
http://www.wikidata.org/entity/Q1812,sénateur romain
http://www.wikidata.org/entity/Q1817,préfet du prétoire
http://www.wikidata.org/entity/Q1817,empereur romain
http://www.wikidata.org/entity/Q1817,sénateur romain
http://www.wikidata.org/entity/Q1830,préfet de Rome
http://www.wikidata.org/entity/Q1830,empereur romain
http://www.wikidata.org/entity/Q1830,sénateur romain
http://www.wikidata.org/entity/Q2039,
http://www.wikidata.org/entity/Q2054,sénateur romain
http://www.wikidata.org/entity/Q2098,
http://www.wikidata.org/entity/Q2161,consul
http://www.wikidata.org/entity/Q2161,préteur
http://www.wikidata.org/entity/Q2161,gouverneur romain
http://www.wikidata.org/entity/Q2161,tribun de la plèbe
http://www.wikidata.org/entity/Q2161,sénateur romain
http://www.wikidata.org/entity/Q2186,monarque
http://www.wikidata.org/entity/Q2253,consul
http://www.wikidata.org/entity/Q2253,censeur
http://www.wikidata.org/entity/Q2253,édile
http://www.wikidata.org/entity/Q2253,gouverneur romain
http://www.wikidata.org/entity/Q2253,sénateur romain
http://www.wikidata.org/entity/Q2259,
http://www.wikidata.org/entity/Q2307,consul
http://www.wikidata.org/entity/Q2307,censeur
http://www.wikidata.org/entity/Q2307,sénateur romain
http://www.wikidata.org/entity/Q4298,fonctionnaire
http://www.wikidata.org/entity/Q5959,consul
http://www.wikidata.org/entity/Q6184,
http://www.wikidata.org/entity/Q6197,
http://www.wikidata.org/entity/Q7170,tribun de la plèbe
http://www.wikidata.org/entity/Q7198,
http://www.wikidata.org/entity/Q8018,évêque
http://www.wikidata.org/entity/Q8018,évêque catholique
http://www.wikidata.org/entity/Q8018,évêque diocésain
http://www.wikidata.org/entity/Q8413,pontifex maximus
http://www.wikidata.org/entity/Q8413,empereur romain
http://www.wikidata.org/entity/Q8413,empereur byzantin
http://www.wikidata.org/entity/Q8413,sénateur romain
http://www.wikidata.org/entity/Q8778,
http://www.wikidata.org/entity/Q8797,
http://www.wikidata.org/entity/Q8800,
http://www.wikidata.org/entity/Q8808,
http://www.wikidata.org/entity/Q8809,
http://www.wikidata.org/entity/Q8817,consul suffect
http://www.wikidata.org/entity/Q8817,sénateur romain
http://www.wikidata.org/entity/Q8820,
http://www.wikidata.org/entity/Q8824,
http://www.wikidata.org/entity/Q8825,préfet d'Égypte
http://www.wikidata.org/entity/Q8827,
http://www.wikidata.org/entity/Q8833,
http://www.wikidata.org/entity/Q9200,apôtre
http://www.wikidata.org/entity/Q10133,juge
http://www.wikidata.org/entity/Q11903,
http://www.wikidata.org/entity/Q16442,évêque
http://www.wikidata.org/entity/Q17131,gouverneur romain
http://www.wikidata.org/entity/Q17590,
http://www.wikidata.org/entity/Q18874,consul
http://www.wikidata.org/entity/Q18874,maître de cavalerie
http://www.wikidata.org/entity/Q18874,sénateur romain
http://www.wikidata.org/entity/Q18999,consul
http://www.wikidata.org/entity/Q18999,préfet de Rome
http://www.wikidata.org/entity/Q18999,sénateur romain
http://www.wikidata.org/entity/Q24548,
http://www.wikidata.org/entity/Q26471,consul
http://www.wikidata.org/entity/Q26471,sénateur romain
http://www.wikidata.org/entity/Q31845,consul
http://www.wikidata.org/entity/Q31845,archonte éponyme
http://www.wikidata.org/entity/Q31845,sénateur romain
http://www.wikidata.org/entity/Q33941,empereur romain
http://www.wikidata.org/entity/Q33941,empereur byzantin
http://www.wikidata.org/entity/Q33941,sénateur romain
http://www.wikidata.org/entity/Q34074,empereur romain
http://www.wikidata.org/entity/Q34074,empereur byzantin
http://www.wikidata.org/entity/Q34074,sénateur romain
http://www.wikidata.org/entity/Q168741,pape
http://www.wikidata.org/entity/Q168741,évêque catholique
http://www.wikidata.org/entity/Q170026,empereur romain
http://www.wikidata.org/entity/Q170026,sénateur romain
http://www.wikidata.org/entity/Q170164,
http://www.wikidata.org/entity/Q170472,
http://www.wikidata.org/entity/Q170512,
http://www.wikidata.org/entity/Q170547,
http://www.wikidata.org/entity/Q171023,empereur romain
http://www.wikidata.org/entity/Q171023,sénateur romain
http://www.wikidata.org/entity/Q171083,consul
http://www.wikidata.org/entity/Q171083,sénateur romain
http://www.wikidata.org/entity/Q171876,
http://www.wikidata.org/entity/Q172048,
http://www.wikidata.org/entity/Q172168,empereur romain
http://www.wikidata.org/entity/Q172168,sénateur romain
http://www.wikidata.org/entity/Q172198,
http://www.wikidata.org/entity/Q172248,préteur
http://www.wikidata.org/entity/Q172471,consul
http://www.wikidata.org/entity/Q172471,comte de l'Étable
http://www.wikidata.org/entity/Q172471,pontifex maximus
http://www.wikidata.org/entity/Q172471,Puissance tribunitienne
http://www.wikidata.org/entity/Q172471,Imperator
http://www.wikidata.org/entity/Q172471,empereur romain
http://www.wikidata.org/entity/Q172471,empereur byzantin
http://www.wikidata.org/entity/Q172471,sénateur romain
http://www.wikidata.org/entity/Q174265,
http://www.wikidata.org/entity/Q174323,
http://www.wikidata.org/entity/Q174536,consul
http://www.wikidata.org/entity/Q174536,sénateur romain
http://www.wikidata.org/entity/Q174929,
http://www.wikidata.org/entity/Q175042,préteur
http://www.wikidata.org/entity/Q175042,tribun de la plèbe
http://www.wikidata.org/entity/Q175042,sénateur romain
http://www.wikidata.org/entity/Q175121,consul
http://www.wikidata.org/entity/Q175121,gouverneur romain
http://www.wikidata.org/entity/Q175121,sénateur romain
http://www.wikidata.org/entity/Q176090,consul
http://www.wikidata.org/entity/Q176090,sénateur romain
http://www.wikidata.org/entity/Q176122,consul
http://www.wikidata.org/entity/Q176122,préteur
http://www.wikidata.org/entity/Q176122,questeur
http://www.wikidata.org/entity/Q176122,censeur
http://www.wikidata.org/entity/Q176122,légat
http://www.wikidata.org/entity/Q176122,augure
http://www.wikidata.org/entity/Q176122,gouverneur romain
http://www.wikidata.org/entity/Q176122,sénateur romain
http://www.wikidata.org/entity/Q176536,empereur romain
http://www.wikidata.org/entity/Q177975,consul
http://www.wikidata.org/entity/Q177975,préteur
http://www.wikidata.org/entity/Q177975,questeur
http://www.wikidata.org/entity/Q177975,augure
http://www.wikidata.org/entity/Q177975,gouverneur romain
