item,epouse
http://www.wikidata.org/entity/Q46750,http://www.wikidata.org/entity/Q1248608
http://www.wikidata.org/entity/Q772631,t1124815102
http://www.wikidata.org/entity/Q772631,t1124815150
http://www.wikidata.org/entity/Q772650,t1666817158
http://www.wikidata.org/entity/Q772811,t297181897
http://www.wikidata.org/entity/Q772930,t1396296091
http://www.wikidata.org/entity/Q773031,t1124815139
http://www.wikidata.org/entity/Q773031,t1124815156
http://www.wikidata.org/entity/Q773031,t1124815175
http://www.wikidata.org/entity/Q773056,t1396296136
http://www.wikidata.org/entity/Q773079,t1935909201
http://www.wikidata.org/entity/Q773092,t9585273
http://www.wikidata.org/entity/Q773119,t1666817096
http://www.wikidata.org/entity/Q773119,t1666817164
http://www.wikidata.org/entity/Q774066,t851131296
http://www.wikidata.org/entity/Q774066,t851131307
http://www.wikidata.org/entity/Q776343,http://www.wikidata.org/entity/Q3122988
http://www.wikidata.org/entity/Q776343,http://www.wikidata.org/entity/Q4882584
http://www.wikidata.org/entity/Q776549,t1124815196
http://www.wikidata.org/entity/Q776877,http://www.wikidata.org/entity/Q3656043
http://www.wikidata.org/entity/Q779125,t1396296043
http://www.wikidata.org/entity/Q779957,t2254328447
http://www.wikidata.org/entity/Q781626,t576070937
http://www.wikidata.org/entity/Q782025,t1124815177
http://www.wikidata.org/entity/Q784108,t1666817039
http://www.wikidata.org/entity/Q784146,t1124815131
http://www.wikidata.org/entity/Q784146,t1124815148
http://www.wikidata.org/entity/Q784146,t1124815218
http://www.wikidata.org/entity/Q787709,t1935909206
http://www.wikidata.org/entity/Q705117,http://www.wikidata.org/entity/Q255410
http://www.wikidata.org/entity/Q705372,t1666280590
http://www.wikidata.org/entity/Q705383,http://www.wikidata.org/entity/Q8265475
http://www.wikidata.org/entity/Q705416,t2254329303
http://www.wikidata.org/entity/Q705416,t2254329306
http://www.wikidata.org/entity/Q705766,http://www.wikidata.org/entity/Q105763856
http://www.wikidata.org/entity/Q706305,t850576699
http://www.wikidata.org/entity/Q706722,t1395754167
http://www.wikidata.org/entity/Q707738,http://www.wikidata.org/entity/Q231696
http://www.wikidata.org/entity/Q708263,t296612751
http://www.wikidata.org/entity/Q708483,t1935396707
http://www.wikidata.org/entity/Q708483,t1935396724
http://www.wikidata.org/entity/Q708570,t2217620805
http://www.wikidata.org/entity/Q708722,http://www.wikidata.org/entity/Q442503
http://www.wikidata.org/entity/Q709224,t1124269015
http://www.wikidata.org/entity/Q709224,t1124269057
http://www.wikidata.org/entity/Q709926,t296612736
http://www.wikidata.org/entity/Q710717,http://www.wikidata.org/entity/Q12093419
http://www.wikidata.org/entity/Q710851,t1666280594
http://www.wikidata.org/entity/Q710851,t1666280709
http://www.wikidata.org/entity/Q710851,t1666280732
http://www.wikidata.org/entity/Q710877,http://www.wikidata.org/entity/Q11938274
http://www.wikidata.org/entity/Q712195,t575504124
http://www.wikidata.org/entity/Q712202,t2240623919
http://www.wikidata.org/entity/Q713394,t2244522780
http://www.wikidata.org/entity/Q713394,t2244522784
http://www.wikidata.org/entity/Q714622,t2244249569
http://www.wikidata.org/entity/Q714670,t1935396704
http://www.wikidata.org/entity/Q714856,http://www.wikidata.org/entity/Q3132611
http://www.wikidata.org/entity/Q715220,t850576564
http://www.wikidata.org/entity/Q715490,t575504088
http://www.wikidata.org/entity/Q715494,http://www.wikidata.org/entity/Q57422063
http://www.wikidata.org/entity/Q715499,t2217996036
http://www.wikidata.org/entity/Q715499,t2217996037
http://www.wikidata.org/entity/Q715499,t2217996039
http://www.wikidata.org/entity/Q716420,t1124269007
http://www.wikidata.org/entity/Q716693,http://www.wikidata.org/entity/Q12279512
http://www.wikidata.org/entity/Q716708,http://www.wikidata.org/entity/Q12295763
http://www.wikidata.org/entity/Q717383,http://www.wikidata.org/entity/Q105287788
http://www.wikidata.org/entity/Q717414,http://www.wikidata.org/entity/Q5057381
http://www.wikidata.org/entity/Q717806,http://www.wikidata.org/entity/Q3655950
http://www.wikidata.org/entity/Q718090,t2217959337
http://www.wikidata.org/entity/Q718125,t8992383
http://www.wikidata.org/entity/Q718125,t8992401
http://www.wikidata.org/entity/Q718165,http://www.wikidata.org/entity/Q154732
http://www.wikidata.org/entity/Q718165,http://www.wikidata.org/entity/Q433381
http://www.wikidata.org/entity/Q718546,http://www.wikidata.org/entity/Q12297680
