itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pereLabel,mereLabel
Claude Ptolémée,,Claudius,,Claudii,masculin,0100-01-01T00:00:00Z,Ptolémaïs,0170-01-01T00:00:00Z,Canope,,
Théodore Tiron,,,,,masculin,0300-01-01T00:00:00Z,Amasya,0306-02-18T00:00:00Z,Amasya,,
Arator,,,,,masculin,0500-01-01T00:00:00Z,Ligurie,0543-01-01T00:00:00Z,Rome,,
Plutarque,Lucius,Mestrius,,Mestrii,masculin,0040-01-01T00:00:00Z,Chéronée,0200-01-01T00:00:00Z,t2290302300,,
Clément Ier,,,,,masculin,0100-01-01T00:00:00Z,Rome,0099-01-01T00:00:00Z,Chersonèse,,
Dioclétien,Caius,,,,masculin,0244-12-22T00:00:00Z,Salone,0311-12-03T00:00:00Z,Split,,
Célestin Ier,,,,,masculin,0400-01-01T00:00:00Z,Rome,0432-07-28T00:00:00Z,Rome,,
Fausta Cornelia,Fausta,Cornelia,,Cornelii,féminin,-0087-01-01T00:00:00Z,Grèce antique,-0030-01-01T00:00:00Z,t2118994211,Sylla,Caecilia Metella Dalmatica
Pélage,,,,,masculin,0360-01-01T00:00:00Z,Britannia,0418-01-01T00:00:00Z,Palestine,,
Catulle,Caius,Valerius,,Valerii,masculin,-0083-01-01T00:00:00Z,Vérone,-0053-01-01T00:00:00Z,Rome,t2290697523,t2290697525
Fabiole,,,,,féminin,0400-01-01T00:00:00Z,Rome,0399-01-01T00:00:00Z,Rome,,
Ménas,,,,,masculin,0285-01-01T00:00:00Z,Memphis,0303-01-01T00:00:00Z,Phrygie,,
Ménas,,,,,masculin,0285-01-01T00:00:00Z,Memphis,0309-01-01T00:00:00Z,Phrygie,,
Dèce,Quintus,Decius,Trajanus,Messii,masculin,0201-01-01T00:00:00Z,Martinci,0251-07-01T00:00:00Z,Abritus,,
Eusèbe,,,,,masculin,0300-01-01T00:00:00Z,,,,,
Maxime d'Éphèse,,,,,masculin,0310-01-01T00:00:00Z,Éphèse,0372-01-01T00:00:00Z,Éphèse,,
Sopatros d'Apamée,,,,,masculin,0242-01-01T00:00:00Z,,0325-01-01T00:00:00Z,,,
Aulus Cornelius Cossus,Aulus,Cornelius,Cossus,Cornelii,masculin,t2128888979,Rome antique,-0400-01-01T00:00:00Z,t2128888925,t2128888956,t2128888946
Marcus Genucius Augurinus,Marcus,Genucius,,Genucii,masculin,-0450-01-01T00:00:00Z,Rome,-0450-01-01T00:00:00Z,t2243683079,t2243683081,t2243683084
Marcus Genucius Augurinus,Marcus,Genucius,,Genucii,masculin,-0450-01-01T00:00:00Z,Rome antique,-0450-01-01T00:00:00Z,t2243683079,t2243683081,t2243683084
Lucius Aemilius Mamercinus,Lucius,Aemilius,Mamercinus,Aemilii,masculin,-0500-01-01T00:00:00Z,Rome,-0400-01-01T00:00:00Z,t2171095882,Mamercus Aemilius Mamercinus,t2171095888
