item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere,epouse
http://www.wikidata.org/entity/Q598225,Antonia Minor Hybrida,,Antonia,,Antonii,féminin,-0100-01-01T00:00:00Z,t849742277,t849742309,t849742304,http://www.wikidata.org/entity/Q435213,t849742362,
http://www.wikidata.org/entity/Q618583,Apicata,,,,,féminin,,http://www.wikidata.org/entity/Q220,0031-10-26T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q117841,,
http://www.wikidata.org/entity/Q718165,Caius Sallustius Crispus Passienus,Caius,Sallustius,Crispus,Sallustii,masculin,t2282200711,,0047-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q720516,,
http://www.wikidata.org/entity/Q1027458,Calpurnia,,,,,féminin,0100-01-01T00:00:00Z,,0200-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1291385,Marie (fille de Stilicon),,Maria,,Marii,féminin,0380-01-01T00:00:00Z,,0407-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13364,http://www.wikidata.org/entity/Q203636,http://www.wikidata.org/entity/Q257819,
http://www.wikidata.org/entity/Q1672591,Irène de Rome,,,,,féminin,0300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0288-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1672591,Irène de Rome,,,,,féminin,0300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0290-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1672591,Irène de Rome,,,,,féminin,0300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0304-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2391729,Junia Lepida,,Junia,Lepida,Junii,féminin,0023-01-01T00:00:00Z,,0065-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1227252,http://www.wikidata.org/entity/Q259576,
http://www.wikidata.org/entity/Q2472899,Caius Memmius,Caius,Memmius,,Memmii,masculin,-0098-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0045-01-01T00:00:00Z,t861283829,http://www.wikidata.org/entity/Q12285217,t861283810,
http://www.wikidata.org/entity/Q3492603,Aemilia Lepida,,Aemilia,Lepida,Aemilii,féminin,-0050-01-01T00:00:00Z,,0036-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q461688,http://www.wikidata.org/entity/Q2171665,
http://www.wikidata.org/entity/Q3554331,Valérien de Rome,,,,,masculin,0177-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0229-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,,
http://www.wikidata.org/entity/Q4969181,Femme de Julius Nepos,,,,,féminin,0450-01-01T00:00:00Z,,0500-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q6697230,Lucilia,,Lucilia,,Lucilii,féminin,,,,,,,
http://www.wikidata.org/entity/Q11923347,Fadia,,Fadia,,Fadii,féminin,-0075-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0010-01-01T00:00:00Z,t1969495131,http://www.wikidata.org/entity/Q11944259,t1969494961,
http://www.wikidata.org/entity/Q22694448,belle-fille de Veccius Proculus,,,,,féminin,,,,,,,
http://www.wikidata.org/entity/Q22694450,fille de Pompeia Celerina,,,,,féminin,,,0097-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q22712410,
