oeuvre,oeuvreLabel,titre,auteur,genreLabel
http://www.wikidata.org/entity/Q442,Histoire naturelle,Naturalis historia,http://www.wikidata.org/entity/Q82778,encyclopédie
http://www.wikidata.org/entity/Q44276,Guerre des Juifs,La Guerre des Juifs : roman,http://www.wikidata.org/entity/Q134461,roman historique
http://www.wikidata.org/entity/Q246732,Satyricon,Satyricon,http://www.wikidata.org/entity/Q47180,Menippean satire
http://www.wikidata.org/entity/Q246732,Satyricon,Satyricon,http://www.wikidata.org/entity/Q47180,roman érotique
http://www.wikidata.org/entity/Q331135,Contre Apion,Contra Apionem,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q331135,Contre Apion,In Apionem,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q331135,Contre Apion,Φλαΐου Ἰωσήπου περὶ ἀρχαιότητος Ἰουδαίων,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1232616,Antiquités judaïques,Ἰουδαϊκὴ ἀρχαιολογία,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1232616,Antiquités judaïques,Antiquitates Judaicae,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1235854,Histoire ecclésiastique,,http://www.wikidata.org/entity/Q142999,
http://www.wikidata.org/entity/Q2099521,Lettres de Pline le Jeune,,http://www.wikidata.org/entity/Q168707,genre épistolaire
http://www.wikidata.org/entity/Q2915316,Autobiographie,Ἰωσήπου βίος,http://www.wikidata.org/entity/Q134461,autobiographie
http://www.wikidata.org/entity/Q67567962,Onomasticon (Eusebius),Περὶ τῶν τοπικῶν ὀνομάτων τῶν ἐν τῇ Θείᾳ Γραφῇ,http://www.wikidata.org/entity/Q142999,Onomasticon
http://www.wikidata.org/entity/Q898808,Pasteur d'Hermas,,http://www.wikidata.org/entity/Q1799472,
http://www.wikidata.org/entity/Q3738147,Fabulae,,http://www.wikidata.org/entity/Q1231590,mythographie
http://www.wikidata.org/entity/Q12899580,De medicina praecepta,,http://www.wikidata.org/entity/Q933792,
http://www.wikidata.org/entity/Q1219433,Punica,Punica,http://www.wikidata.org/entity/Q316123,épopée
http://www.wikidata.org/entity/Q1248970,Abrégé de l'histoire romaine,Breviarium ab urbe condita,http://www.wikidata.org/entity/Q314694,historiographie
http://www.wikidata.org/entity/Q1272518,Octavius,,http://www.wikidata.org/entity/Q319423,dialogue
http://www.wikidata.org/entity/Q3006491,Ora maritima,,http://www.wikidata.org/entity/Q366793,
http://www.wikidata.org/entity/Q3395604,Polyhistor,,http://www.wikidata.org/entity/Q520487,
http://www.wikidata.org/entity/Q3618692,Antigone,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3623430,La Justice des armes,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3738259,Factorum ac dictorum memorabilium libri IX,,http://www.wikidata.org/entity/Q379991,
http://www.wikidata.org/entity/Q3853639,Médée,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3901559,Philoctète,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3922887,Prométhée,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3950848,Saturnales,,http://www.wikidata.org/entity/Q313934,dialogue
http://www.wikidata.org/entity/Q5244884,De aquæductibus urbis Romæ,,http://www.wikidata.org/entity/Q297377,
http://www.wikidata.org/entity/Q5834994,Epitome of Roman History,,http://www.wikidata.org/entity/Q316483,
http://www.wikidata.org/entity/Q7621752,Les Stratagèmes,Strategemata,http://www.wikidata.org/entity/Q297377,traité
http://www.wikidata.org/entity/Q12899568,A Description of the World,,http://www.wikidata.org/entity/Q297515,
http://www.wikidata.org/entity/Q12902196,Strategemata,,http://www.wikidata.org/entity/Q537755,
http://www.wikidata.org/entity/Q15020957,Achille,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q16163743,Alceste,Alcestis,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q16166365,Andromède,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q16529517,Astyanax,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q16562947,Hécube,Hecuba,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q16589954,Phéniciennes,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q19091668,Histoire ecclésiastique,,http://www.wikidata.org/entity/Q380943,
http://www.wikidata.org/entity/Q20551972,Histoire des empereurs romains de Marc Aurèle à Gordien III,Τῆς μετὰ Μάρκον βασιλείας ἱστορίαι,http://www.wikidata.org/entity/Q313056,
http://www.wikidata.org/entity/Q23641771,De verborum significatione,De Verborum Significatione Libri XX,http://www.wikidata.org/entity/Q302723,
http://www.wikidata.org/entity/Q25379049,Aratea,Aratea,http://www.wikidata.org/entity/Q366793,poème
http://www.wikidata.org/entity/Q26257556,Varia Historia,Ποικίλη Ἱστορία,http://www.wikidata.org/entity/Q313782,
http://www.wikidata.org/entity/Q26257556,Varia Historia,Varia Historia,http://www.wikidata.org/entity/Q313782,
http://www.wikidata.org/entity/Q26257566,De Natura Animalium,Περὶ Ζῴων Ἰδιότητος,http://www.wikidata.org/entity/Q313782,
http://www.wikidata.org/entity/Q26257566,De Natura Animalium,De Natura Animalium,http://www.wikidata.org/entity/Q313782,
http://www.wikidata.org/entity/Q42190988,Philippic History,,http://www.wikidata.org/entity/Q316119,
http://www.wikidata.org/entity/Q42191504,Manuel de grammaire,,http://www.wikidata.org/entity/Q356433,
http://www.wikidata.org/entity/Q60840346,Atrée,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q87143921,Satires,Saturae,http://www.wikidata.org/entity/Q332785,
http://www.wikidata.org/entity/Q87771448,On Prodigies,,http://www.wikidata.org/entity/Q682860,
http://www.wikidata.org/entity/Q100707309,Troyennes,Troades,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q106474651,Saturae,,http://www.wikidata.org/entity/Q298729,
http://www.wikidata.org/entity/Q3589112,Éphéméride de la guerre de Troie,Ephēmeris bellī Trōiānī,http://www.wikidata.org/entity/Q10891032,roman
http://www.wikidata.org/entity/Q106436539,De iure civili libri tres,,http://www.wikidata.org/entity/Q11935164,
http://www.wikidata.org/entity/Q1225196,Vie d'Apollonios de Tyane,Τὰ ἐς τὸν Τυανέα Ἀπολλώνιον,http://www.wikidata.org/entity/Q2274948,biographie
http://www.wikidata.org/entity/Q1229481,Distiques de Caton,,http://www.wikidata.org/entity/Q3028750,poésie didactique
http://www.wikidata.org/entity/Q15804866,Sur les maladies aiguës et les maladies chroniques,De morbis acutis et chronicis,http://www.wikidata.org/entity/Q2514828,
http://www.wikidata.org/entity/Q42187365,Lives of the Sophists,,http://www.wikidata.org/entity/Q2274948,
http://www.wikidata.org/entity/Q2403439,fragments de Quadrat,,http://www.wikidata.org/entity/Q12879156,
http://www.wikidata.org/entity/Q44227030,Passion de Perpétue et de Félicité,Passio sanctarum Perpetuae et Felicitatis,http://www.wikidata.org/entity/Q18061415,hagiographie
http://www.wikidata.org/entity/Q87743321,Cynegetica,,http://www.wikidata.org/entity/Q17996276,
