item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q1229440,Spurius Postumius Albinus Regillensis,Spurius,Postumius,Regillensis,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0379-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259782685,t2259782690
http://www.wikidata.org/entity/Q1229491,Marcus Folius Flaccinator,Marcus,Folius,,Folii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2259818921,t2259818923,t2259818925
http://www.wikidata.org/entity/Q1229497,Caius Marcius Rutilus Censorinus,Caius,Marcius,,Marcii,masculin,0300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,0400-01-01T00:00:00Z,t2259784348,http://www.wikidata.org/entity/Q935315,t2259784353
http://www.wikidata.org/entity/Q1229504,Opiter Verginius Esquilinus,Opiter,Verginius,Esquilinus,Verginii,masculin,-0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0401-01-01T00:00:00Z,t2259813353,http://www.wikidata.org/entity/Q953614,t2259813360
http://www.wikidata.org/entity/Q1229504,Opiter Verginius Esquilinus,Opiter,Verginius,Tricostus,Verginii,masculin,-0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0401-01-01T00:00:00Z,t2259813353,http://www.wikidata.org/entity/Q953614,t2259813360
http://www.wikidata.org/entity/Q1229537,Marcus Fabius Vibulanus,Marcus,Fabius,Vibulanus,Fabii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259778522,t2259778513,http://www.wikidata.org/entity/Q1236548,t2259778525
http://www.wikidata.org/entity/Q1229565,Lucius Papirius Crassus,Lucius,Papirius,,Papirii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259859154,t2259859158
http://www.wikidata.org/entity/Q1229717,Lucius Furius Medullinus,Lucius,Furius,Medullinus,Furii,masculin,-0444-01-01T00:00:00Z,http://www.wikidata.org/entity/Q754314,-0350-01-01T00:00:00Z,t2259937696,http://www.wikidata.org/entity/Q784146,t2259937697
http://www.wikidata.org/entity/Q1229722,Spurius Postumius Albus Regillensis,Spurius,Postumius,Regillensis,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259943163,t2259943171,http://www.wikidata.org/entity/Q675499,t2259943161
http://www.wikidata.org/entity/Q1229722,Spurius Postumius Albus Regillensis,Spurius,Postumius,Albus,Postumii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259943163,t2259943171,http://www.wikidata.org/entity/Q675499,t2259943161
http://www.wikidata.org/entity/Q1229755,Lucius Furius Medullinus,Lucius,Furius,,Furii,masculin,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0500-01-01T00:00:00Z,t2259947144,t2259947149,t2259947141
http://www.wikidata.org/entity/Q1229771,Lucius Cornelius Maluginensis Uritus Cossus,Lucius,Cornelius,,Cornelii,masculin,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q782025,t2259868191
http://www.wikidata.org/entity/Q1229778,Cnaeus Cornelius Cossus,Cnaeus,Cornelius,,Cornelii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0460-01-01T00:00:00Z,t2259890561,t2259890539,t2259890551
http://www.wikidata.org/entity/Q1230271,Titus Quinctius Poenus Cincinnatus,Titus,Quinctius,Cincinnatus,Quinctii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2259799911,http://www.wikidata.org/entity/Q309637,t2259799909
http://www.wikidata.org/entity/Q1230271,Titus Quinctius Poenus Cincinnatus,Titus,Quinctius,Pennus,Quinctii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2259799911,http://www.wikidata.org/entity/Q309637,t2259799909
http://www.wikidata.org/entity/Q1230289,Quintus Antonius Merenda,Quintus,Antonius,Merenda,Antonii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259848346,t2259848345,http://www.wikidata.org/entity/Q1230820,t2259848347
http://www.wikidata.org/entity/Q1230820,Titus Antonius Merenda,Titus,Antonius,Merenda,Antonii,masculin,t2259927438,http://www.wikidata.org/entity/Q1747689,-0500-01-01T00:00:00Z,t2259927439,t2259927423,t2259927421
http://www.wikidata.org/entity/Q1230841,Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Capitolinus,Quinctii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259881890,http://www.wikidata.org/entity/Q1235979,t2259881897
http://www.wikidata.org/entity/Q1230841,Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Pennus,Quinctii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259881890,http://www.wikidata.org/entity/Q1235979,t2259881897
http://www.wikidata.org/entity/Q1230841,Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Crispinus,Quinctii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0400-01-01T00:00:00Z,t2259881890,http://www.wikidata.org/entity/Q1235979,t2259881897
http://www.wikidata.org/entity/Q1230967,Lucius Sempronius Atratinus,Lucius,Sempronius,Atratinus,Sempronii,masculin,-0500-01-01T00:00:00Z,t2259801597,-0500-01-01T00:00:00Z,t2259801596,http://www.wikidata.org/entity/Q548179,t2259801592
http://www.wikidata.org/entity/Q1231649,Gaius Maenius,Caius,Maenius,,Maenii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2259898050,t2259898055,t2259898052
